,Avg_aspect,Avg_slope,SAR_Name,STD_aspect,STD_slope
0,23.5720158918,4.27872419357,TL_SAR_41,17.7515042677,1.16742157936
1,137.074820566,3.77526926994,TL_SAR_4,18.691508163,1.06538820267
2,155.271387081,6.37544965744,TL_SAR_7,15.734408759,1.68562448025
3,141.966561069,3.20606708527,TL_SAR_8,28.5890008108,1.29382145405
4,53.6013472665,4.82027006149,KG_SAR_2,11.1625578239,0.927505671978
5,293.409002385,10.8621664047,KG_SAR_5,12.5355450467,1.83258283138
6,86.4469107775,3.87681722641,KG_SAR_6,13.671446685,0.467416107655
7,116.415014629,0.992227852345,CN_SAR_1,104.890624207,0.674306333065
8,94.5481776615,0.809480428696,CN_SAR_2,38.3768746447,0.364429026842
9,99.2249789409,0.662643492222,BW_SAR_HC,93.0054130537,0.334771573544
10,54.0302080143,0.177374139428,BW_SAR_FC,119.063078569,0.165479660034
11,318.822319456,0.18558216095,BW_SAR_LC,73.3330844671,0.148698359728
